id,name,date,diameter_min_m,diameter_max_m,diameter_avg_m,close_approach_date,velocity_kmh,miss_distance_km,is_hazardous,is_high_risk,orbiting_body,risk_score,risk_label
3525129,(2010 KV39),2026-05-17,11.6,25.94,18.77,2026-05-17,64162.02,43331412.69,False,False,Earth,0.1293,NONE
3558382,(2011 ED12),2026-05-17,11.6,25.94,18.77,2026-05-17,12353.51,28257652.11,False,False,Earth,0.041,NONE
3689018,(2014 RX22),2026-05-17,16.77,37.5,27.14,2026-05-17,45687.25,65308348.6,False,False,Earth,0.1164,NONE
3745995,(2016 EO84),2026-05-17,90.48,202.32,146.4,2026-05-17,48328.6,32114647.75,False,False,Earth,0.2315,LOW
3748545,(2016 FD15),2026-05-17,131.39,293.79,212.59,2026-05-17,58344.59,29614794.24,False,False,Earth,0.2758,LOW
3760088,(2016 TM),2026-05-17,8.41,18.79,13.6,2026-05-17,62996.56,67174572.95,False,False,Earth,0.106,NONE
3802577,(2018 GY3),2026-05-17,8.03,17.95,12.99,2026-05-17,30053.47,54384412.4,False,False,Earth,0.0371,NONE
3824092,(2018 JM2),2026-05-17,20.63,46.14,33.38,2026-05-17,32447.24,20541649.21,False,False,Earth,0.1034,NONE
3825161,(2018 LP3),2026-05-17,19.26,43.06,31.16,2026-05-17,84681.04,74263311.11,False,False,Earth,0.2034,LOW
