id,name,date,diameter_min_m,diameter_max_m,diameter_avg_m,close_approach_date,velocity_kmh,miss_distance_km,is_hazardous,is_high_risk,orbiting_body,risk_score,risk_label
2141495,141495 (2002 EZ11),2026-05-16,540.2,1207.93,874.06,2026-05-16,83071.17,23386604.8,True,True,Earth,0.6174,MEDIUM
3551475,(2010 VK139),2026-05-16,48.15,107.66,77.9,2026-05-16,82811.06,67453127.54,False,False,Earth,0.2594,LOW
3754269,(2016 LA49),2026-05-16,8.41,18.79,13.6,2026-05-16,55661.11,70102846.3,False,False,Earth,0.0914,NONE
3825011,(2018 KX1),2026-05-16,67.38,150.67,109.03,2026-05-16,82881.71,66998212.58,False,False,Earth,0.2814,LOW
3842619,(2019 KA3),2026-05-16,6.71,15.0,10.85,2026-05-16,40829.58,44107870.69,False,False,Earth,0.047,NONE
3989340,(2020 BV14),2026-05-16,54.77,122.47,88.62,2026-05-16,64063.61,52524618.41,False,False,Earth,0.2303,LOW
54017120,(2020 KP1),2026-05-16,63.76,142.57,103.17,2026-05-16,60450.6,18033069.38,False,False,Earth,0.2329,LOW
2679756,679756 (2020 KP1),2026-05-16,62.89,140.62,101.75,2026-05-16,60450.54,18033057.69,False,False,Earth,0.232,LOW
