id,name,date,diameter_min_m,diameter_max_m,diameter_avg_m,close_approach_date,velocity_kmh,miss_distance_km,is_hazardous,is_high_risk,orbiting_body,risk_score,risk_label
3423827,(2008 PR9),2026-05-19,85.62,191.44,138.53,2026-05-19,102712.64,65256948.05,False,False,Earth,0.3367,LOW
3767933,(2017 BU93),2026-05-19,61.74,138.05,99.89,2026-05-19,73636.83,65428868.96,False,False,Earth,0.2572,LOW
3774621,(2017 JL3),2026-05-19,66.77,149.29,108.03,2026-05-19,53524.68,46204078.76,False,False,Earth,0.2221,LOW
3781867,(2017 SF14),2026-05-19,34.08,76.21,55.15,2026-05-19,20210.4,60622943.69,False,False,Earth,0.1117,NONE
3824095,(2018 JT2),2026-05-19,35.04,78.35,56.69,2026-05-19,84111.4,45889147.07,False,False,Earth,0.2412,LOW
3836892,(2018 XC4),2026-05-19,14.61,32.66,23.63,2026-05-19,73346.37,65022834.1,False,False,Earth,0.1627,NONE
