id,name,date,diameter_min_m,diameter_max_m,diameter_avg_m,close_approach_date,velocity_kmh,miss_distance_km,is_hazardous,is_high_risk,orbiting_body,risk_score,risk_label
2375103,375103 (2007 TD71),2026-05-13,530.34,1185.88,858.11,2026-05-13,96064.54,13084875.17,True,True,Earth,0.6422,MEDIUM
3092303,(2001 MS3),2026-05-13,42.13,94.2,68.16,2026-05-13,27904.67,7938230.02,False,False,Earth,0.1408,NONE
3631851,(2013 EL28),2026-05-13,88.01,196.81,142.41,2026-05-13,14654.08,58866498.37,False,False,Earth,0.173,NONE
3723888,(2015 NU2),2026-05-13,174.81,390.88,282.84,2026-05-13,58448.42,69437751.4,True,False,Earth,0.4946,LOW
3824972,(2018 KL),2026-05-13,113.38,253.54,183.46,2026-05-13,25476.12,54204672.12,False,False,Earth,0.2005,LOW
3843051,(2019 MG2),2026-05-13,99.21,221.84,160.52,2026-05-13,37781.33,41312670.29,False,False,Earth,0.2164,LOW
3843475,(2019 PG),2026-05-13,19.89,44.47,32.18,2026-05-13,33169.65,12598619.95,False,False,Earth,0.1025,NONE
3883089,(2019 UF7),2026-05-13,31.96,71.46,51.71,2026-05-13,47088.01,23796891.87,False,False,Earth,0.1612,NONE
54607489,(2026 GF),2026-05-13,43.39,97.02,70.2,2026-05-13,27438.66,7980113.11,False,False,Earth,0.1418,NONE
